Nom,Rang,Naissance,Mort,Pays,Continent,Domaine,Description,Image,Merged Doc ID - PersonnagesInfuents,Merged Doc URL - PersonnagesInfuents,Link to merged Doc - PersonnagesInfuents,Document Merge Status - PersonnagesInfuents
Aristote,0001,-384,-322,Grèce,Europe,PHILOSOPHE,"Aristote est un philosophe grec de l'Antiquité. Il est l'élève de Platon et est influencé par Socrate.
Selon lui, la science peut être théorique, pratique ou productive.
Il écrit l'Organon : un ensemble de traités dans lesquels la logique est détaillée et présentée comme un outil pour faire avancer la science.
Il est considéré comme le premier à pratiquer les sciences naturelles.
Il découvre que les dauphins ne sont pas des poissons, mais des mammifères.
Il établit une description détaillée de la ruche qui restera inchangée pendant plus de 2'000 ans.
Il est le maître d'Alexandre le Grand, fils de Philippe II de Macédoine, qui est son ami.
Il fonde une école philosophique qui s’appelle le Lycée.
Selon lui, les êtres naturels sont constitués de 5 éléments : la Terre, l'Eau, l'Air, le Feu et l'Éther.
Il démontre que la Terre est ronde.
",https://i.imgur.com/0p6IYbc.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Platon,0002,-428,-348,Grèce,Europe,PHILOSOPHE,"Platon est un philosophe grec de l'Antiquité. Il est le disciple de Socrate et le Maître d’Aristote.
Il est l'un des premiers philosophes occidentaux.
Son œuvre est principalement composée de dialogues mettant pratiquement tous en scène Socrate.
Il fonde une école appelée l’Académie dont la devise est : ""Que nul n'entre ici s'il n'est géomètre"".
Selon lui, l’âme est composée de 3 puissances : l'appétit, la colère et le raisonnable.
Il est dualiste : l'âme et le corps sont complètement séparés.
Il distingue 5 régimes politiques : 1 régime parfait (l’Aristocratie) et 4 régimes imparfaits (la timocratie, l’oligarchie, la démocratie, la tyrannie).
Il établit la théorie des Formes : les idées existent réellement et constituent ce que nous percevons.
Platon raconte l'histoire d’Atlantide : une île ayant existé vers -9'500 et qui était en avance technologiquement.
",https://i.imgur.com/Vl5gR6l.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Jésus de Nazareth,0003,-7,30,Israël,Asie,RELIGIEUX-SE,"Jésus de Nazareth est un Juif de Galilée. Il est prédicateur, guérisseur et exorciste. Il se présente comme le ""vecteur"" de Dieu.
Selon le Nouveau Testament, il est bienveillant. Son enseignement est centré sur l'amour et le pardon.
Il suscite la ferveur de ses disciples qui voient en lui le fils de Dieu.
Il attire la méfiance des autorités politiques et religieuses de l’époque.
Il prend un dernier repas avec ses disciples (la ""Cène"") durant lequel il annonce sa mort prochaine.
Il est arrêté sur dénonciation de son disciple Judas puis condamné pour rébellion par Ponce Pilate.
Il est crucifié en l'an 30 à Jérusalem pendant la fête juive de la Pâque.
Ses disciples annoncent ensuite sa résurrection : ce sera le début du christianisme.
Le christianisme est la religion la plus importante en nombre de fidèles.
Dans l’islam, Jésus de Nazareth est considéré comme un prophète majeur.
",https://i.imgur.com/BWOdb4k.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Socrate,0004,-470,-399,Grèce,Europe,PHILOSOPHE,"Socrate est un philosophe grec de l'Antiquité. Il est le Maître de Platon.
Il y a peu de certitudes sur lui car il n'a laissé aucun écrit.
Ses disciples le mettent souvent en scène dans des dialogues philosophiques.
Selon la Pythie (l’Oracle d’Apollon à Delphes), il est l’homme le plus sage.
Il se considère comme un ignorant et dit souvent : “je ne sais qu'une chose, c'est que je ne sais rien”.
Il interpelle les autres en public puis démontre leur ignorance.
Il est connu pour avoir une grande force physique.
Il est pauvre car il a peu de besoins.
Il est condamné à mort car il ne vénère pas les mêmes dieux que les autres.
Il est aussi accusé de corrompre la jeunesse.
Il meurt en buvant du poison à l'âge de 70 ans.
",https://i.imgur.com/GZ3JgHn.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Alexandre le Grand,0005,-356,-323,Grèce,Europe,MILITAIRE,"Alexandre le Grand, roi de Macédoine, est l’un des plus grands conquérants de l’histoire.
Son objectif est de conquérir l’ensemble du monde connu.
Son royaume s'étend de la Grèce, à l’Égypte, jusqu’à l’Inde, en passant par le Moyen-Orient.
Il fonde près de 70 cités qui s’appellent presque toutes Alexandrie.
Il est largement influencé par Aristote, son précepteur. En particulier, il emporte avec lui une édition de l’Iliade, rédigée par Aristote, et de laquelle il tire sa conduite.
Il a une volonté de fer et se considère comme le fils de dieu.
Il devient roi de Macédoine à l’âge de 20 ans.
Il meurt à l’âge de 32 ans. Quelques jours avant sa mort, il est déjà très handicapé. Ses soldats le croient mort et exigent de le voir. Ils défilent alors devant lui, et il salue chacun de ses hommes d’un clignement des yeux. 
",https://i.imgur.com/OoVLSaJ.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Léonard de Vinci,0006,1452,1519,Italie,Europe,INVENTEUR-TRICE,"Léonard de Vinci est un génie italien : il est artiste, scientifique, inventeur, anatomiste, architecte, urbaniste, philosophe et écrivain.
Il est considéré comme l'un des plus grands peintres de tous les temps.
Il apprend à lire et écrire à 12 ans, et étudie le grec et le latin à 40 ans.
Il sera formé par Verrocchio, un célèbre peintre, et le surpassera rapidement dans toutes les disciplines.
À 26 ans, il quitte son maître et devient maître-peintre indépendant.
Ses 2 œuvres majeures sont La Joconde et La Cène. Elles sont mondialement connues.
Il est l’inventeur du sous-marin, de l'automobile, de la calculatrice et du roulement à billes.
En 1516, François 1er l’invite en France. Il traverse donc les Alpes, à 64 ans, à dos de mulet, portant avec lui 3 peintures majeures : “Saint Jean Baptiste”, “La Vierge, l'Enfant Jésus et sainte Anne” et “La Joconde”.
Il meurt à 67 ans, de maladie.
",https://i.imgur.com/6wx1vYK.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Confucius,0007,-551,-479,Chine,Asie,PHILOSOPHE,"Confucius est un grand philosophe chinois.
Il est le philosophe qui a le plus marqué la civilisation chinoise.
Il est considéré comme le premier ""éducateur"" de la Chine.
Ses principaux disciples sont les Douze Philosophes. Ils sont honorés dans les temples confucéens.
Il a l'arbre généalogique le plus grand du monde avec 83 générations et 2 millions de descendants connus, sur 3 millions estimés.
Il mesure plus de 2 mètres.
Ses disciples ont recueilli ses propos et sa pensée dans les “Entretiens de Confucius”.
Selon lui, tout homme doit devenir ""Junzi"", un homme moralement bon.
Il considère par contre le “Sage” comme un idéal inatteignable.
Sa doctrine est le Ren, ce qui signifie la bienveillance.
Il enseigne à tous, mais principalement aux futurs hommes de pouvoir ainsi qu’aux fils de princes.",https://i.imgur.com/tCIDnL3.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Jules César,0008,-100,-44,Italie,Europe,MILITAIRE,"Jules César est un homme politique romain.
Il étend l’empire romain jusqu'au Rhin et à l'océan Atlantique puis prend le pouvoir à Rome grâce à son armée.
Il est ambitieux, brillant, stratège et tacticien habile.
Il grandit dans un quartier pauvre, mais reçoit une éducation exemplaire.
Vers 20 ans, il entre dans l’armée et il accomplit des exploits.
De retour à Rome, il se fait élire pontifex, puis devient consul à 41 ans.
Il conquiert la Gaule en profitant de la migration des Helvètes en -58.
En -52, il remporte une victoire décisive au siège d’Alésia, où il reçoit la reddition de Vercingétorix.
En -49, il entre en armes en Italie et franchit un fleuve, le Rubicon : c’est une déclaration de guerre. Il dit alors : “Alea jacta est” (le sort en est jeté).
En -44, il est assassiné de 23 coups de poignard. Le coup final vient de son fils Brutus. Il dit en le voyant : ""Tu quoque mi fili"" (""Toi aussi mon fils !"").
",https://i.imgur.com/rt1Mjdt.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Homère,0009,VIIIe siècle av. J.-C,VIIe siècle av. J.-C,Grèce,Europe,POÈTE,"Homère aurait été un poète grec.
Il serait l’auteur de l'Iliade et de l'Odyssée, les 2 premières œuvres de la littérature occidentale.
On ne sait pas s’il a vraiment existé ou s’il est une identité construite.
Homère aurait été aveugle. Il est aussi possible qu’il ait été une femme.
Ses textes étaient des poésies ce qui a favorisé la transmission orale.
L’Iliade est une épopée de la Grèce antique relatant la fin de la guerre de Troie, durant laquelle les Grecs et les Troyens s'affrontent.
Elle se termine par le duel entre Achille (Grec) et Hector (Troyen) et la victoire prochaine des Grecs.
L’Odyssée est une épopée racontant les aventures d’Ulysse (héros grec de la guerre de Troie) durant lesquelles il rencontre de nombreux personnages et des dieux de la mythologie grecque.
Ulysse mettra 10 ans à rentrer chez lui et retrouve sa femme (Pénélope) et son fils (Télémaque).
",https://i.imgur.com/LheISsU.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
Pythagore,0010,-580,-495,Grèce,Europe,PHILOSOPHE,"Pythagore est un philosophe, mathématicien et scientifique grec. 
Il donne son nom à un grand théorème de mathématiques : le théorème de Pythagore. Les résultats de ce théorème étaient cependant déjà connus depuis 1000 ans. La plus ancienne démonstration connue à ce jour fut faite par Euclide (en -300).
Son nom signifie “celui qui a été annoncé par la Pythie”.
Il serait le premier à s’appeler “philosophe”, c’est-à-dire “amoureux de la sagesse”.
Il participe aux jeux olympiques à 17 ans et remporte toutes les épreuves de pugilat (ancêtre de la boxe).
Pour lui, les nombres sont très importants et il développe une mathématique démonstrative.
Il est le fondateur de la science politique et il défend l’Aristocratie, tout comme Platon. L’aristocratie est le gouvernement d’une élite, en particulier des savants.",https://i.imgur.com/It36CsD.jpg,,,,Starting at Thu Feb 24 2022 04:07:32 GMT-0500 (EST)
